#            x/D           =            23.4375  ~  23  
#            r(mm)         r/D          fv(ppm)  rms_fv
6.7178998    2.099343688   0.001274629  0.0050974
6.855        2.1421875     0.001274627  0.0050974
6.9920998    2.185031188   0.001274625  0.00521325
7.1292       2.227875      0.001274623  0.0053291
7.2663002    2.270718813   0.001390494  0.0053291
7.4033999    2.313562469   0.001390491  0.00544495
7.5405002    2.356406313   0.001390487  0.00567665
7.6775999    2.399249969   0.001390483  0.00567665
7.8147001    2.442093781   0.001390478  0.00590835
7.9517999    2.484937469   0.001390473  0.00590835
8.0888996    2.527781125   0.001390467  0.0060242
8.2259998    2.570624938   0.001158719  0.0060242
8.3631001    2.613468781   0.001158716  0.0057925
8.5002003    2.656312594   0.001158713  0.0057925
8.6372995    2.699156094   0.001158708  0.0055608
8.7743998    2.741999938   0.001042835  0.0053291
8.9115       2.78484375    0.001042832  0.0050974
9.0486002    2.827687563   0.001042828  0.0048657
9.1857004    2.870531375   0.000926956  0.00451815
9.3227997    2.913374906   0.000811085  0.00428645
9.4598999    2.956218719   0.000811083  0.0039389
9.5970001    2.999062531   0.000811081  0.0037072
9.7341003    3.041906344   0.000695211  0.0034755
9.8711996    3.084749875   0.00069521   0.00312795
